Connection,Scenario,Variable,Category,Type,SubType,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Transmission,Leading the Way,Capacity (MW),Interconnectors,Interconnectors,Interconnectors,"4,750.00","5,000.00","7,000.00","8,400.00","9,800.00","15,100.00","17,900.00","17,900.00","18,650.00","18,650.00","18,650.00","21,450.00","21,450.00","21,450.00","25,800.00","25,800.00","25,800.00","25,800.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00","27,200.00"
Transmission,System Transformation,Capacity (MW),Interconnectors,Interconnectors,Interconnectors,"4,750.00","4,750.00","7,000.00","8,400.00","8,400.00","8,400.00","9,800.00","11,700.00","14,500.00","15,900.00","17,900.00","17,900.00","17,900.00","17,900.00","18,650.00","18,650.00","18,650.00","18,650.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00","21,450.00"
Transmission,Steady Progression,Capacity (MW),Interconnectors,Interconnectors,Interconnectors,"4,750.00","4,750.00","4,750.00","7,000.00","8,400.00","8,400.00","8,400.00","9,800.00","11,200.00","14,500.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00","15,900.00"
Transmission,Consumer Transformation,Capacity (MW),Interconnectors,Interconnectors,Interconnectors,"4,750.00","4,750.00","7,000.00","8,400.00","8,400.00","9,800.00","14,500.00","15,900.00","17,900.00","17,900.00","18,650.00","18,650.00","18,650.00","18,650.00","18,650.00","18,650.00","21,450.00","21,450.00","21,450.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00","25,050.00"
Transmission,Five Year Forecast,Capacity (MW),Interconnectors,Interconnectors,Interconnectors,"4,750.00","4,750.00","7,000.00","8,400.00","8,400.00","8,400.00","9,800.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Both,Leading the Way,CO2 emissions (mt CO2),N/A,N/A,N/A,49.07,39.83,28.41,24.65,23.82,19.07,15.98,14.1,8.22,7.24,5.53,-1.94,-3.76,-17.77,-18.8,-27.39,-32.51,-38.1,-39.08,-39.4,-39.78,-40.24,-40.44,-44.26,-48.67,-53.21,-57.29,-57.59,-57.8,-58.03,-58.31,-58.62
Both,System Transformation,CO2 emissions (mt CO2),N/A,N/A,N/A,49.07,43.9,33.28,30.33,31.82,32.65,27.06,23.98,20.12,22.63,18.51,19.52,12.92,10.16,-2.19,-12.49,-29.19,-34.51,-39.23,-39.38,-39.63,-39.85,-39.85,-39.99,-44.57,-44.84,-45.01,-45.51,-45.83,-46.18,-46.93,-47.34
Both,Steady Progression,CO2 emissions (mt CO2),N/A,N/A,N/A,49.07,46.86,43.61,39,38.31,39.73,44.57,39.43,36.15,30.61,24.42,25.63,28.25,29.41,30.72,31.08,32.29,32.31,30.94,32.82,34.11,34.04,35.75,38.04,38.77,38.76,36.9,34.56,34.84,33.79,33.09,29.76
Both,Consumer Transformation,CO2 emissions (mt CO2),N/A,N/A,N/A,49.07,43.31,32.05,29.04,31.63,31.1,24.11,19.59,18.65,18.08,16.01,13.45,7.92,0.87,-10.76,-14.05,-21.85,-23.04,-24.73,-25.34,-25.97,-26.51,-30.82,-31.04,-35.26,-39.35,-43.41,-47.49,-47.91,-48.71,-49.06,-49.5
Both,Leading the Way,CO2 intensity of generation (gCO2/KWh),N/A,N/A,N/A,167.15,142.09,108.84,95.57,94.1,75.85,58.23,47.21,25.65,23.05,16.65,-5.59,-10.11,-46.03,-47.44,-67.49,-79,-90.04,-91.69,-91.29,-91.22,-89.68,-86.95,-90.21,-95.59,-101.35,-105.62,-103.8,-101.23,-99.78,-99.37,-98.81
